airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
OrbitFlyAirlines,Kolkata,Early_Morning,one,Night,Bangalore,Economy,15.42,29.0,6488
OrbitFlyAirlines,Delhi,Late_Night,two_or_more,Early_Morning,Bangalore,Business,11.08,47.0,15527
OrbitFlyAirlines,Delhi,Morning,one,Night,Hyderabad,Economy,12.5,30.0,7705
OrbitFlyAirlines,Delhi,Afternoon,one,Evening,Chennai,Economy,4.67,18.0,2968
OrbitFlyAirlines,Delhi,Morning,one,Evening,Mumbai,Business,9.92,15.0,28116
OrbitFlyAirlines,Delhi,Night,one,Night,Hyderabad,Business,14.67,32.0,19820
OrbitFlyAirlines,Mumbai,Late_Night,zero,Late_Night,Delhi,Business,10.33,31.0,30257
OrbitFlyAirlines,Mumbai,Night,one,Evening,Delhi,Business,6.58,21.0,30368
OrbitFlyAirlines,Mumbai,Night,one,Morning,Kolkata,Business,13.42,14.0,28937
OrbitFlyAirlines,Kolkata,Morning,two_or_more,Night,Delhi,Economy,11.83,30.0,6488
OrbitFlyAirlines,Mumbai,Early_Morning,one,Night,Kolkata,Economy,13.75,35.0,6226
OrbitFlyAirlines,Hyderabad,Morning,one,Evening,Delhi,Economy,7.5,25.0,6132
OrbitFlyAirlines,Hyderabad,Night,one,Early_Morning,Mumbai,Economy,11.67,38.0,6476
OrbitFlyAirlines,Delhi,Night,one,Early_Morning,Kolkata,Economy,9.0,11.0,5954
OrbitFlyAirlines,Delhi,Night,one,Night,Kolkata,Business,13.58,11.0,27542
OrbitFlyAirlines,Hyderabad,Morning,one,Afternoon,Kolkata,Business,13.67,12.0,26414
OrbitFlyAirlines,Hyderabad,Early_Morning,zero,Evening,Mumbai,Business,3.92,22.0,23030
OrbitFlyAirlines,Hyderabad,Afternoon,zero,Late_Night,Delhi,Business,12.25,28.0,26895
OrbitFlyAirlines,Bangalore,Early_Morning,two_or_more,Morning,Mumbai,Business,15.17,5.0,23414
OrbitFlyAirlines,Mumbai,Early_Morning,zero,Afternoon,Mumbai,Business,9.08,31.0,23691
OrbitFlyAirlines,Mumbai,Afternoon,two_or_more,Late_Night,Bangalore,Economy,10.58,21.0,5102
OrbitFlyAirlines,Bangalore,Early_Morning,two_or_more,Night,Delhi,Business,15.17,31.0,26975
OrbitFlyAirlines,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,23.0,4793
OrbitFlyAirlines,Kolkata,Afternoon,one,Evening,Bangalore,Business,5.33,43.0,21049
OrbitFlyAirlines,Hyderabad,Morning,two_or_more,Evening,Mumbai,Business,13.08,20.0,15268
OrbitFlyAirlines,Chennai,Night,one,Late_Night,Bangalore,Economy,3.83,38.0,4445
OrbitFlyAirlines,Chennai,Late_Night,zero,Evening,Mumbai,Business,10.67,37.0,28772
OrbitFlyAirlines,Hyderabad,Night,two_or_more,Morning,Hyderabad,Business,11.75,33.0,24044
OrbitFlyAirlines,Bangalore,Night,one,Early_Morning,Kolkata,Economy,9.5,44.0,6186
OrbitFlyAirlines,Delhi,Morning,one,Evening,Kolkata,Economy,7.0,31.0,6395
OrbitFlyAirlines,Chennai,Late_Night,two_or_more,Night,Mumbai,Business,5.92,12.999999999999998,21879
OrbitFlyAirlines,Kolkata,Afternoon,one,Night,Mumbai,Economy,6.83,38.0,6135
OrbitFlyAirlines,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,10.83,4.0,6488
OrbitFlyAirlines,Kolkata,Evening,two_or_more,Night,Chennai,Business,2.08,41.0,19754
OrbitFlyAirlines,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,10.58,18.0,5888
OrbitFlyAirlines,Hyderabad,Afternoon,zero,Night,Kolkata,Business,15.25,9.0,29035
OrbitFlyAirlines,Bangalore,Night,one,Early_Morning,Kolkata,Economy,10.08,29.0,5177
OrbitFlyAirlines,Delhi,Early_Morning,one,Evening,Bangalore,Economy,8.17,31.0,4020
OrbitFlyAirlines,Delhi,Afternoon,one,Night,Bangalore,Economy,6.08,13.0,7424
OrbitFlyAirlines,Delhi,Late_Night,one,Early_Morning,Chennai,Economy,5.67,22.0,4896
OrbitFlyAirlines,Kolkata,Afternoon,one,Early_Morning,Bangalore,Business,10.25,27.0,17403
OrbitFlyAirlines,Delhi,Night,one,Early_Morning,Kolkata,Economy,10.67,48.0,6395
OrbitFlyAirlines,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,5.67,7.0,14029
OrbitFlyAirlines,Mumbai,Evening,one,Evening,Delhi,Business,2.08,36.0,15091
OrbitFlyAirlines,Bangalore,Morning,one,Evening,Delhi,Economy,9.75,17.0,5696
OrbitFlyAirlines,Kolkata,Afternoon,two_or_more,Night,Hyderabad,Business,12.75,21.0,15134
OrbitFlyAirlines,Chennai,Morning,one,Evening,Bangalore,Economy,9.67,46.0,9999
OrbitFlyAirlines,Kolkata,Evening,two_or_more,Morning,Mumbai,Business,2.17,43.0,23921
OrbitFlyAirlines,Mumbai,Night,two_or_more,Evening,Kolkata,Business,11.25,43.0,27431
OrbitFlyAirlines,Kolkata,Afternoon,one,Late_Night,Mumbai,Economy,10.33,24.0,5888
OrbitFlyAirlines,Mumbai,Night,two_or_more,Night,Bangalore,Business,1.25,39.0,31606
OrbitFlyAirlines,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.0,49.0,5584
OrbitFlyAirlines,Bangalore,Morning,one,Night,Kolkata,Economy,13.58,42.0,6186
OrbitFlyAirlines,Mumbai,Evening,one,Morning,Bangalore,Economy,14.75,11.0,5102
OrbitFlyAirlines,Kolkata,Morning,zero,Early_Morning,Bangalore,Business,14.5,34.0,27722
OrbitFlyAirlines,Mumbai,Afternoon,two_or_more,Night,Delhi,Economy,7.42,20.0,5942
OrbitFlyAirlines,Mumbai,Afternoon,zero,Morning,Mumbai,Business,12.25,24.0,21461
OrbitFlyAirlines,Delhi,Morning,one,Evening,Mumbai,Economy,8.0,30.0,5958
OrbitFlyAirlines,Kolkata,Morning,zero,Night,Mumbai,Business,17.0,25.0,33579
OrbitFlyAirlines,Kolkata,Evening,zero,Early_Morning,Chennai,Business,11.67,12.0,21025
OrbitFlyAirlines,Delhi,Afternoon,one,Night,Kolkata,Economy,8.08,49.0,6395
OrbitFlyAirlines,Delhi,Evening,one,Late_Night,Bangalore,Economy,5.75,40.0,4205
OrbitFlyAirlines,Delhi,Early_Morning,one,Evening,Kolkata,Economy,12.33,14.0,5954
OrbitFlyAirlines,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,14.67,5.0,4262
OrbitFlyAirlines,Bangalore,Evening,zero,Night,Kolkata,Economy,2.33,18.0,3393
OrbitFlyAirlines,Delhi,Afternoon,one,Night,Bangalore,Economy,7.25,34.0,4020
OrbitFlyAirlines,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.5,36.0,6075
OrbitFlyAirlines,Hyderabad,Afternoon,zero,Night,Kolkata,Business,7.75,16.0,12163
OrbitFlyAirlines,Kolkata,Afternoon,one,Late_Night,Bangalore,Economy,12.08,33.0,6109
OrbitFlyAirlines,Chennai,Evening,two_or_more,Night,Mumbai,Business,9.42,35.0,29886
OrbitFlyAirlines,Delhi,Afternoon,one,Night,Chennai,Economy,7.33,35.0,4896
OrbitFlyAirlines,Kolkata,Night,two_or_more,Night,Bangalore,Business,13.58,44.0,21198
OrbitFlyAirlines,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,33.0,2410
OrbitFlyAirlines,Mumbai,Evening,one,Night,Delhi,Economy,5.5,19.0,5942
OrbitFlyAirlines,Kolkata,Evening,zero,Evening,Bangalore,Business,1.67,22.0,19366
OrbitFlyAirlines,Chennai,Late_Night,zero,Night,Mumbai,Business,5.0,28.0,20521
OrbitFlyAirlines,Kolkata,Early_Morning,zero,Afternoon,Hyderabad,Business,9.67,24.0,29945
OrbitFlyAirlines,Mumbai,Afternoon,one,Night,Delhi,Economy,5.0,5.0,5942
OrbitFlyAirlines,Bangalore,Afternoon,two_or_more,Morning,Bangalore,Business,2.58,4.0,21396
OrbitFlyAirlines,Chennai,Afternoon,one,Night,Delhi,Economy,9.75,38.0,4827
OrbitFlyAirlines,Chennai,Night,one,Afternoon,Delhi,Economy,14.0,22.0,7266
OrbitFlyAirlines,Delhi,Morning,one,Night,Kolkata,Economy,13.08,40.0,6395
OrbitFlyAirlines,Chennai,Early_Morning,one,Evening,Bangalore,Economy,11.5,45.0,4612
OrbitFlyAirlines,Kolkata,Late_Night,one,Afternoon,Bangalore,Business,4.33,19.0,29687
OrbitFlyAirlines,Hyderabad,Morning,zero,Night,Delhi,Business,9.75,30.0,29229
OrbitFlyAirlines,Mumbai,Morning,one,Night,Delhi,Economy,9.67,30.0,6617
OrbitFlyAirlines,Kolkata,Night,two_or_more,Late_Night,Delhi,Business,8.83,16.0,32330
OrbitFlyAirlines,Mumbai,Morning,one,Night,Chennai,Business,14.17,14.0,24951
OrbitFlyAirlines,Mumbai,Evening,two_or_more,Night,Delhi,Business,8.5,38.0,12980
OrbitFlyAirlines,Delhi,Night,one,Early_Morning,Kolkata,Business,16.67,1.0,27446
OrbitFlyAirlines,Kolkata,Afternoon,two_or_more,Late_Night,Chennai,Business,8.33,47.0,19847
OrbitFlyAirlines,Kolkata,Morning,one,Afternoon,Bangalore,Business,3.67,36.0,23121
OrbitFlyAirlines,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,11.67,24.0,4452
OrbitFlyAirlines,Mumbai,Early_Morning,one,Morning,Kolkata,Economy,5.83,34.0,10376
OrbitFlyAirlines,Delhi,Afternoon,one,Night,Bangalore,Economy,9.5,16.0,3710
OrbitFlyAirlines,Kolkata,Evening,two_or_more,Afternoon,Mumbai,Business,6.83,31.0,26598
OrbitFlyAirlines,Delhi,Night,zero,Night,Kolkata,Business,9.83,19.0,28005
OrbitFlyAirlines,Mumbai,Afternoon,one,Night,Delhi,Economy,5.0,16.0,5942
OrbitFlyAirlines,Kolkata,Late_Night,one,Night,Bangalore,Business,8.92,12.0,25761
OrbitFlyAirlines,Delhi,Early_Morning,one,Evening,Kolkata,Economy,11.92,37.0,7790
OrbitFlyAirlines,Chennai,Afternoon,two_or_more,Night,Bangalore,Business,14.92,34.0,29558
OrbitFlyAirlines,Hyderabad,Early_Morning,one,Night,Kolkata,Business,7.25,25.0,24683
OrbitFlyAirlines,Kolkata,Morning,zero,Evening,Delhi,Business,13.58,29.0,25229
OrbitFlyAirlines,Mumbai,Morning,one,Night,Bangalore,Economy,13.58,27.0,5102
OrbitFlyAirlines,Mumbai,Early_Morning,one,Evening,Mumbai,Business,8.92,11.0,21276
OrbitFlyAirlines,Mumbai,Early_Morning,two_or_more,Late_Night,Delhi,Business,9.83,42.0,26817
OrbitFlyAirlines,Bangalore,Morning,one,Night,Chennai,Economy,12.33,46.0,4911
OrbitFlyAirlines,Chennai,Afternoon,one,Night,Delhi,Economy,7.42,46.0,4827
OrbitFlyAirlines,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,9.5,26.0,4827
OrbitFlyAirlines,Chennai,Morning,zero,Night,Bangalore,Business,4.75,29.0,16977
OrbitFlyAirlines,Bangalore,Night,zero,Late_Night,Bangalore,Business,7.58,36.0,35862
OrbitFlyAirlines,Mumbai,Early_Morning,zero,Early_Morning,Chennai,Economy,1.92,48.0,3000
OrbitFlyAirlines,Hyderabad,Morning,two_or_more,Night,Hyderabad,Business,7.58,3.0,21328
OrbitFlyAirlines,Mumbai,Night,zero,Night,Delhi,Business,4.25,23.0,23606
OrbitFlyAirlines,Delhi,Afternoon,one,Early_Morning,Kolkata,Economy,16.0,17.0,5954
OrbitFlyAirlines,Chennai,Morning,zero,Evening,Bangalore,Business,8.17,27.0,21147
OrbitFlyAirlines,Kolkata,Evening,one,Late_Night,Mumbai,Economy,9.58,40.0,5853
OrbitFlyAirlines,Mumbai,Evening,one,Morning,Bangalore,Economy,14.75,27.0,5102
OrbitFlyAirlines,Delhi,Evening,one,Late_Night,Chennai,Economy,8.17,11.0,7426
OrbitFlyAirlines,Mumbai,Evening,one,Late_Night,Delhi,Economy,6.83,13.0,5942
OrbitFlyAirlines,Chennai,Afternoon,one,Late_Night,Bangalore,Business,7.58,31.0,33711
OrbitFlyAirlines,Kolkata,Afternoon,one,Night,Bangalore,Economy,7.08,33.0,7979
OrbitFlyAirlines,Bangalore,Afternoon,one,Night,Hyderabad,Economy,7.58,43.0,4366
OrbitFlyAirlines,Delhi,Afternoon,one,Late_Night,Chennai,Business,8.17,16.0,22600
OrbitFlyAirlines,Mumbai,Night,one,Morning,Hyderabad,Economy,9.67,37.0,3282
OrbitFlyAirlines,Bangalore,Evening,one,Morning,Kolkata,Economy,13.83,7.0,5177
OrbitFlyAirlines,Chennai,Afternoon,one,Night,Delhi,Economy,6.42,19.0,4827
OrbitFlyAirlines,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,10.08,29.0,4165
OrbitFlyAirlines,Kolkata,Night,two_or_more,Morning,Delhi,Business,14.67,12.0,20581
OrbitFlyAirlines,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,10.75,23.0,4165
OrbitFlyAirlines,Bangalore,Morning,one,Afternoon,Delhi,Economy,6.42,35.0,4028
OrbitFlyAirlines,Delhi,Night,one,Early_Morning,Bangalore,Economy,9.0,46.0,4020
OrbitFlyAirlines,Bangalore,Night,two_or_more,Night,Mumbai,Business,2.25,20.0,31412
OrbitFlyAirlines,Mumbai,Evening,one,Night,Delhi,Economy,5.58,25.0,5618
OrbitFlyAirlines,Hyderabad,Morning,two_or_more,Night,Hyderabad,Business,11.83,44.0,20775
OrbitFlyAirlines,Kolkata,Morning,one,Evening,Delhi,Economy,8.92,24.0,6488
OrbitFlyAirlines,Delhi,Afternoon,two_or_more,Night,Hyderabad,Business,6.0,48.0,31719
OrbitFlyAirlines,Bangalore,Evening,one,Early_Morning,Mumbai,Economy,11.75,6.0,5177
OrbitFlyAirlines,Bangalore,Early_Morning,one,Evening,Mumbai,Business,8.83,9.0,28192
OrbitFlyAirlines,Delhi,Evening,one,Morning,Hyderabad,Business,14.0,14.0,21169
OrbitFlyAirlines,Chennai,Afternoon,one,Late_Night,Delhi,Economy,11.42,47.0,3219
OrbitFlyAirlines,Bangalore,Early_Morning,two_or_more,Evening,Delhi,Business,9.58,31.0,34804
OrbitFlyAirlines,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,10.25,12.0,5177
OrbitFlyAirlines,Delhi,Evening,one,Early_Morning,Kolkata,Economy,11.83,19.0,7938
OrbitFlyAirlines,Bangalore,Late_Night,one,Evening,Bangalore,Business,14.75,29.0,28114
OrbitFlyAirlines,Mumbai,Early_Morning,one,Late_Night,Bangalore,Business,9.08,17.0,29628
OrbitFlyAirlines,Kolkata,Late_Night,zero,Afternoon,Mumbai,Business,8.25,31.0,22224
OrbitFlyAirlines,Kolkata,Evening,one,Night,Bangalore,Economy,6.98,14.0,6488
OrbitFlyAirlines,Chennai,Afternoon,zero,Afternoon,Mumbai,Business,16.17,46.0,30869
OrbitFlyAirlines,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.83,16.0,7424
OrbitFlyAirlines,Bangalore,Morning,zero,Afternoon,Mumbai,Business,14.5,12.0,30627
OrbitFlyAirlines,Kolkata,Evening,one,Night,Mumbai,Business,14.75,32.0,32497
